OrderID,ProductName,BOMLineNo,PartName,MaterialSpec,Qty,Unit,Notes
1,Woodworking Infeed Roller,1,Roller Core (Shaft),Carbon Steel (Woodworking Grade),166,piece,Inner diameter ~ 24.0mm; length ~ 501.0mm
1,Woodworking Infeed Roller,2,Rubber Compound (Cover),Hardness ~ 38 Shore A,40.21,kg,Ring volume calculation for rubber cover
1,Woodworking Infeed Roller,3,Adhesive (Bonding Agent),Metal-to-Rubber Cement,9960.0,ml,Estimated usage scaled by quantity
1,Woodworking Infeed Roller,4,End Caps (if applicable),Steel or Aluminum,332,pieces,2 end caps per roller
1,Woodworking Infeed Roller,5,Bearings,Ball/Tapered Roller Bearing,332,pieces,2 bearings per roller
1,Woodworking Infeed Roller,6,Surface Finish (Grinding),n/a,1,service,Precision grinding to final OD & TIR
1,Woodworking Infeed Roller,7,Packaging/Protection,"Shrink Film, Cardboard, Foam",1,set,Bulk or individual packaging
2,Woodworking Infeed Roller,1,Roller Core (Shaft),Carbon Steel (Woodworking Grade),59,piece,Inner diameter ~ 22.0mm; length ~ 454.0mm
2,Woodworking Infeed Roller,2,Rubber Compound (Cover),Hardness ~ 36 Shore A,6.19,kg,Ring volume calculation for rubber cover
2,Woodworking Infeed Roller,3,Adhesive (Bonding Agent),Metal-to-Rubber Cement,3540.0,ml,Estimated usage scaled by quantity
2,Woodworking Infeed Roller,4,End Caps (if applicable),Steel or Aluminum,118,pieces,2 end caps per roller
2,Woodworking Infeed Roller,5,Bearings,Ball/Tapered Roller Bearing,118,pieces,2 bearings per roller
2,Woodworking Infeed Roller,6,Surface Finish (Grinding),n/a,1,service,Precision grinding to final OD & TIR
2,Woodworking Infeed Roller,7,Packaging/Protection,"Shrink Film, Cardboard, Foam",1,set,Bulk or individual packaging
3,Steel Coil Tension Roller,1,Roller Core (Shaft),Carbon Steel (Heavy-Duty),42,piece,Inner diameter ~ 33.0mm; length ~ 865.0mm
3,Steel Coil Tension Roller,2,High-Tension PU Cover,Hardness ~ 74 Shore A,18.23,kg,Ring volume calculation for rubber cover
3,Steel Coil Tension Roller,3,Adhesive (Bonding Agent),Metal-to-Rubber Cement,2940.0,ml,Estimated usage scaled by quantity
3,Steel Coil Tension Roller,4,End Caps (if applicable),Steel or Aluminum,84,pieces,2 end caps per roller
3,Steel Coil Tension Roller,5,Bearings,Ball/Tapered Roller Bearing,84,pieces,2 bearings per roller
3,Steel Coil Tension Roller,6,Surface Finish (Grinding),n/a,1,service,Precision grinding to final OD & TIR
3,Steel Coil Tension Roller,7,Packaging/Protection,"Shrink Film, Cardboard, Foam",1,set,Bulk or individual packaging
4,Offset Printing Rubber Roller,1,Roller Core (Shaft),Alloy Steel (Offset Printing),192,piece,Inner diameter ~ 25.0mm; length ~ 434.0mm
4,Offset Printing Rubber Roller,2,Printing Rubber Compound,Hardness ~ 27 Shore A,67.44,kg,Ring volume calculation for rubber cover
4,Offset Printing Rubber Roller,3,Adhesive (Bonding Agent),Metal-to-Rubber Cement,9600.0,ml,Estimated usage scaled by quantity
4,Offset Printing Rubber Roller,4,End Caps (if applicable),Steel or Aluminum,384,pieces,2 end caps per roller
4,Offset Printing Rubber Roller,5,Bearings,Ball/Tapered Roller Bearing,384,pieces,2 bearings per roller
4,Offset Printing Rubber Roller,6,Surface Finish (Grinding),n/a,1,service,Precision grinding to final OD & TIR
4,Offset Printing Rubber Roller,7,Packaging/Protection,"Shrink Film, Cardboard, Foam",1,set,Bulk or individual packaging
