OrderID,OrderDate,ProductName,Hardness,Quantity,Color,Spec
1,2007-01-01,Woodworking Infeed Roller,38,166,Orange,24*33*501
2,2007-01-03,Woodworking Infeed Roller,36,59,Orange,22*27*454
3,2007-01-04,Steel Coil Tension Roller,74,42,Yellow,33*40*865
4,2007-01-04,Offset Printing Rubber Roller,27,192,Dark Blue,25*39*434
5,2007-01-05,Arc Surface Laminating Roller,37,78,Purple,26*45*600
6,2007-01-06,NBR Rubber Roller,41,105,Red,21*42*465
7,2007-01-06,Woodworking Infeed Roller,49,60,Red,23*28*675
8,2007-01-06,Arc Surface Laminating Roller,44,85,Orange,25*35*753
9,2007-01-06,Steel Coil Tension Roller,88,73,Gray,20*44*575
10,2007-01-06,Flexo Printing Roller,30,78,Orange,22*35*401
11,2007-01-07,Glass Polishing Roller,27,153,Dark Blue,23*33*577
12,2007-01-07,Anti-Static Silicone Roller,56,134,Yellow,29*35*771
13,2007-01-07,Anti-Static Silicone Roller,59,173,Dark Green,22*38*495
14,2007-01-09,Offset Printing Rubber Roller,32,36,Yellow,25*40*560
15,2007-01-09,Custom Rubber Roller,63,66,Red,25*47*670
16,2007-01-09,Steel Coil Tension Roller,75,181,Red,20*57*607
17,2007-01-12,PU Coating Roller,65,116,Dark Blue,30*40*573
18,2007-01-13,Synthetic Rubber Dust Collection Roller,42,167,Light Blue,23*35*571
19,2007-01-13,Textile Squeeze Roller,33,41,Light Blue,24*28*631
20,2007-01-13,Static Dissipative Roller,26,59,White,26*45*668
21,2007-01-13,Static Dissipative Roller,46,183,Dark Blue,27*42*762
22,2007-01-14,Offset Printing Rubber Roller,32,141,Red,21*28*472
23,2007-01-16,Flexo Printing Roller,34,76,White,22*31*808
24,2007-01-16,Static Dissipative Roller,50,113,Orange,25*37*793
25,2007-01-16,Food-Grade Silicone Roller,44,173,Purple,24*29*453
26,2007-01-16,High-Viscosity Cleaning Roller,28,194,Black,26*33*441
27,2007-01-17,Anti-Static Silicone Roller,57,143,Black,29*43*593
28,2007-01-19,IIR Rubber Dust Collection Roller,35,8,Black,25*29*690
29,2007-01-20,High-Viscosity Cleaning Roller,28,41,Navy,26*37*526
30,2007-01-21,Manual Adhesive Roller,31,58,Dark Green,25*35*522
31,2007-01-22,PCB Lamination Roller,55,58,Dark Blue,25*43*408
32,2007-01-24,Textile Squeeze Roller,49,65,Purple,22*29*692
33,2007-01-25,Textile Squeeze Roller,50,109,Navy,22*26*409
34,2007-01-25,Flexo Printing Roller,44,110,Dark Green,28*30*661
35,2007-01-25,PCB Lamination Roller,53,49,Black,26*38*461
36,2007-01-29,NBR Rubber Roller,43,143,Pink,28*38*625
37,2007-01-29,Anti-Static Silicone Roller,46,123,Dark Green,22*45*650
38,2007-01-29,NBR Rubber Roller,37,38,Dark Green,25*31*686
39,2007-01-30,Glass Polishing Roller,28,143,Red,21*27*526
40,2007-01-30,High-Viscosity Cleaning Roller,17,40,Pink,27*36*514
41,2007-01-31,Conveyor Silicone Belt,50,94,Orange,32*58*651
42,2007-01-31,Arc Surface Laminating Roller,43,190,Red,24*34*553
43,2007-02-01,Flexo Printing Roller,48,111,Navy,27*41*737
44,2007-02-03,Glass Polishing Roller,35,170,Light Blue,24*34*412
45,2007-02-04,Flexo Printing Roller,35,5,Orange,22*41*574
46,2007-02-05,Food-Grade Silicone Roller,44,45,Dark Blue,21*41*534
47,2007-02-05,Textile Squeeze Roller,45,106,Pink,18*33*504
48,2007-02-05,Offset Printing Rubber Roller,40,5,Navy,23*37*675
49,2007-02-06,Custom Rubber Roller,41,27,Navy,34*46*845
50,2007-02-07,Steel Coil Tension Roller,85,90,Pink,29*37*402
51,2007-02-07,PCB Lamination Roller,51,102,Black,22*40*485
52,2007-02-08,Textile Squeeze Roller,41,18,Dark Blue,23*35*471
53,2007-02-08,Anti-Static Silicone Roller,40,7,Gray,30*40*576
54,2007-02-08,Woodworking Infeed Roller,42,5,Purple,25*35*684
55,2007-02-09,Textile Squeeze Roller,43,123,Gray,20*31*560
56,2007-02-10,PCB Lamination Roller,63,198,Red,32*41*609
57,2007-02-11,Textile Squeeze Roller,35,32,Pink,19*27*424
58,2007-02-11,Food-Grade Silicone Roller,48,81,White,22*40*470
59,2007-02-12,Glass Polishing Roller,26,113,Light Blue,26*30*519
60,2007-02-14,VITON Heat Press Roller,50,73,Gray,21*37*776
61,2007-02-15,Steel Coil Tension Roller,70,197,Dark Blue,24*36*898
62,2007-02-15,Gravure Printing Roller,40,172,Dark Green,22*34*469
63,2007-02-15,Synthetic Rubber Dust Collection Roller,42,45,Dark Green,18*33*537
64,2007-02-16,Synthetic Rubber Dust Collection Roller,41,69,Black,23*26*785
65,2007-02-16,Glass Polishing Roller,35,134,Navy,26*29*576
66,2007-02-16,IIR Rubber Dust Collection Roller,30,76,Dark Green,25*27*453
67,2007-02-17,Flexo Printing Roller,35,120,Gray,22*43*569
68,2007-02-17,Flexo Printing Roller,33,182,Black,25*41*879
69,2007-02-18,PU Coating Roller,61,56,Dark Blue,29*54*840
70,2007-02-20,Arc Surface Laminating Roller,42,138,Purple,25*32*601
